timestamp,previous_quality,new_quality,bandwidth_mbps,latency_ms,packet_loss_percent
2025-05-06T19:33:21.704310,medium,high,8.84,59.13,1.16
2025-05-06T19:33:29.851793,high,medium,9.63,53.04,2.3
2025-05-06T19:33:37.734536,high,medium,9.98,62.68,2.38
2025-05-06T19:33:39.872193,medium,high,7.69,47.51,0.85
2025-05-06T19:33:47.745764,medium,high,9.42,56.64,1.15
2025-05-06T19:34:19.799079,high,medium,9.42,58.19,2.29
2025-05-06T19:34:19.924740,high,medium,10.46,50.19,2.14
2025-05-06T19:34:29.822125,medium,high,9.75,60.27,1.1
2025-05-06T19:34:29.947566,medium,high,9.0,57.47,1.41
2025-05-06T19:34:41.964369,high,medium,8.82,49.68,2.06
2025-05-06T19:34:45.864737,high,medium,9.41,56.74,2.48
2025-05-06T19:34:50.312256,high,medium,8.83,55.12,2.49
2025-05-06T19:34:58.322348,medium,high,8.85,48.18,1.87
2025-05-06T19:35:03.901252,medium,high,8.54,52.91,1.77
2025-05-06T19:35:08.340404,high,medium,9.69,60.16,2.64
2025-05-06T19:35:11.917885,high,medium,8.57,56.81,2.91
2025-05-06T19:35:18.363512,medium,high,9.46,52.24,0.86
2025-05-06T19:35:21.940173,medium,high,10.16,53.51,1.42
2025-05-06T19:35:44.434978,high,medium,9.17,58.39,2.79
2025-05-06T19:35:46.006074,high,medium,9.48,56.57,2.63
2025-05-06T19:36:00.478933,medium,high,9.88,52.25,1.35
2025-05-06T19:36:04.051155,medium,high,10.05,58.04,1.24
2025-05-06T19:36:41.971630,medium,high,8.77,58.78,1.93
2025-05-06T19:36:44.598399,high,medium,10.14,53.47,2.74
2025-05-06T19:36:54.630758,medium,high,9.91,59.58,0.97
2025-05-06T19:37:02.191692,high,medium,9.22,54.64,2.44
2025-05-06T19:37:14.218367,medium,high,9.26,48.57,1.92
2025-05-06T19:37:36.287170,high,medium,9.88,58.07,2.08
2025-05-06T19:37:38.777151,high,medium,8.9,55.63,2.31
2025-05-06T19:37:41.916462,high,medium,10.28,55.86,2.66
2025-05-06T19:37:46.325759,medium,high,9.84,56.12,1.86
2025-05-06T19:37:48.805135,medium,high,9.43,55.16,1.29
2025-05-06T19:38:00.365734,high,medium,9.4,51.03,2.03
2025-05-06T19:38:02.838099,high,medium,9.93,56.75,2.49
2025-05-06T19:38:06.389578,medium,high,9.65,42.92,1.77
2025-05-06T19:38:12.860090,medium,high,8.86,60.84,1.63
2025-05-06T19:38:16.413446,high,medium,10.0,52.62,2.22
2025-05-06T19:38:17.951599,medium,high,9.37,51.97,0.91
2025-05-06T19:38:23.933850,high,medium,9.54,54.67,2.31
2025-05-06T19:38:26.435532,medium,high,10.42,47.71,1.21
2025-05-06T19:38:30.911133,high,medium,10.43,65.3,2.27
2025-05-06T19:38:31.916245,medium,high,9.38,57.54,1.74
2025-05-06T19:38:36.934770,medium,high,9.23,56.92,1.49
2025-05-06T19:38:43.969003,high,medium,10.19,51.67,2.46
2025-05-06T19:38:53.930909,medium,high,9.52,58.23,0.95
2025-05-06T19:39:05.041031,high,medium,10.5,57.97,2.09
2025-05-06T19:39:11.064826,medium,high,8.64,65.46,1.96
2025-05-06T19:39:20.566650,high,medium,9.3,53.69,2.19
2025-05-06T19:39:21.092952,high,medium,8.57,61.61,2.61
2025-05-06T19:39:31.123573,medium,high,9.8,55.57,1.35
2025-05-06T19:39:36.610576,medium,high,9.24,56.36,1.55
2025-05-06T19:39:41.915370,high,medium,10.23,54.62,2.24
2025-05-06T19:39:43.169012,high,medium,9.74,51.26,2.06
2025-05-06T19:39:44.642033,high,medium,9.65,56.1,2.02
2025-05-06T19:39:53.205252,medium,high,10.27,68.29,1.69
2025-05-06T19:40:01.213218,high,medium,9.59,56.01,2.1
2025-05-06T19:40:06.673606,medium,high,10.39,64.56,1.6
2025-05-06T19:40:11.239355,medium,high,9.2,64.98,1.02
2025-05-06T19:40:12.686354,high,medium,10.44,60.17,3.08
2025-05-06T19:40:18.697062,medium,high,10.07,59.74,1.75
2025-05-06T19:40:23.283319,high,medium,8.7,61.07,2.91
2025-05-06T19:40:33.313340,medium,high,9.54,55.89,1.96
2025-05-06T19:40:44.751901,high,medium,10.49,54.89,2.23
2025-05-06T19:40:53.346432,high,medium,9.86,56.49,2.19
2025-05-06T19:40:54.767707,medium,high,9.03,60.37,1.9
2025-05-06T19:40:59.363726,medium,high,9.85,54.41,1.77
2025-05-06T19:41:07.393410,high,medium,9.88,63.07,3.06
2025-05-06T19:41:13.404986,medium,high,10.02,56.93,1.81
2025-05-06T19:41:14.817138,high,medium,9.97,46.68,2.66
